id,created_at,store_id,brand_id,category,amount
94b8fbc6,2025-06-28T12:50:00,2,2,Dairy,65.0
651e5f30,2025-05-14T00:49:00,2,44,Frozen,26.3
c9bb2bc5,2025-06-08T17:42:00,1,2,Beverages,58.57
f711c780,2025-06-16T07:57:00,10,2,Frozen,53.72
9d6d15c9,2025-06-29T11:41:00,9,27,Snacks,115.06
3d388f61,2025-05-26T15:43:00,1,49,Snacks,176.04
d46bc0a6,2025-06-01T07:17:00,5,10,Snacks,239.52
ed51c8e3,2025-05-31T23:18:00,2,6,Bakery,28.7
f44a525a,2025-06-01T15:22:00,10,17,Beverages,183.78
66d2a9a7,2025-06-19T03:24:00,2,25,Beverages,140.25
a9ca03f2,2025-06-27T13:17:00,10,24,Frozen,52.11
72ba15f0,2025-05-07T15:56:00,1,43,Snacks,194.4
4016ee93,2025-05-08T14:18:00,4,7,Bakery,73.1
b86e5e92,2025-06-28T04:40:00,6,11,Dairy,92.04
f47dc2ac,2025-05-25T15:13:00,2,39,Snacks,135.86
703cf29e,2025-05-23T14:47:00,3,30,Bakery,71.14
195a7b06,2025-06-28T14:06:00,9,15,Dairy,211.5
0989d79c,2025-05-06T10:11:00,4,3,Dairy,103.29
44119a53,2025-05-07T08:35:00,4,37,Dairy,57.09
7444e2c8,2025-06-15T18:35:00,7,42,Bakery,40.0
0f218553,2025-05-14T01:01:00,4,48,Frozen,137.05
6c5c182e,2025-06-23T13:02:00,7,38,Bakery,93.69
16b80220,2025-05-13T22:11:00,9,32,Beverages,190.17
16c9db58,2025-05-11T07:31:00,3,41,Snacks,199.06
188ef7d9,2025-06-08T18:13:00,10,5,Bakery,98.5
777af02b,2025-06-12T22:28:00,9,17,Frozen,215.89
4f611091,2025-05-02T09:04:00,2,44,Frozen,188.97
cf587bc0,2025-06-28T16:12:00,6,8,Dairy,111.52
d1441915,2025-06-11T15:10:00,1,47,Dairy,243.11
4dd170e2,2025-05-17T14:16:00,9,7,Dairy,211.21
42d63b56,2025-06-16T13:00:00,10,13,Snacks,96.61
1d49e5ef,2025-05-16T00:54:00,9,50,Frozen,230.03
93cf5221,2025-06-24T20:24:00,6,32,Beverages,32.41
a0297d54,2025-06-03T08:56:00,5,16,Beverages,64.01
4373591e,2025-06-21T23:24:00,2,6,Bakery,204.93
701ad15c,2025-06-18T19:42:00,3,9,Bakery,236.98
17f04b77,2025-05-16T08:43:00,5,34,Frozen,108.67
2240bfdd,2025-05-20T14:40:00,9,49,Snacks,179.67
