created_at,total_amount,customer_age,customer_gender,store_location,store_id,checkout_seconds,is_weekend,nlp_processed,nlp_processed_at,nlp_confidence_score,device_id,payment_method,checkout_time,request_type,transcription_text,suggestion_accepted
2025-04-17 00:37:21,446.46,30,Other,"37188 Anthony Crossroad
North Kristen, WV 80462",3,38,False,True,2025-04-17 00:37:26,0.73,DEV-499,cash,2025-04-17 00:38:12,unbranded,Baby happy after get public.,True
2025-05-13 22:03:50,113.7,21,Male,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",1,71,True,True,2025-05-13 22:03:55,0.94,DEV-469,cash,2025-05-13 22:04:21,unbranded,Reveal state consider.,True
2025-03-05 01:30:13,434.74,28,Other,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",2,91,True,True,2025-03-05 01:30:18,0.92,DEV-692,card,2025-03-05 01:30:47,branded,Bar whose image.,False
2025-04-02 08:11:58,343.57,29,Male,"143 Cuevas Trail
North Teresa, SC 24246",2,110,True,True,2025-04-02 08:12:03,0.83,DEV-481,gcash,2025-04-02 08:12:55,unbranded,Might represent child accept.,False
2025-04-07 04:29:23,322.85,56,Other,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",4,218,False,True,2025-04-07 04:29:28,0.81,DEV-501,gcash,2025-04-07 04:29:48,unbranded,Become material compare nor purpose.,False
2025-01-12 20:13:35,317.44,20,Other,"06285 David Tunnel
South Crystal, WY 51579",3,186,False,True,2025-01-12 20:13:40,0.86,DEV-187,card,2025-01-12 20:13:51,unsure,City maintain next company amount growth ground.,True
2025-03-16 13:35:07,156.98,26,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,298,True,True,2025-03-16 13:35:12,0.8,DEV-770,cash,2025-03-16 13:35:08,unsure,Consumer authority break discussion concern.,True
2025-02-17 12:28:19,361.89,33,Male,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",2,154,True,True,2025-02-17 12:28:24,0.96,DEV-983,cash,2025-02-17 12:29:18,unsure,Recent cultural specific since attorney school it.,True
2025-02-05 01:11:41,325.74,26,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,155,True,True,2025-02-05 01:11:46,0.71,DEV-532,cash,2025-02-05 01:11:53,branded,Song real none lawyer possible house.,True
2025-03-05 22:36:28,226.43,29,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",4,146,False,True,2025-03-05 22:36:33,0.79,DEV-103,gcash,2025-03-05 22:37:19,unbranded,Four necessary put.,True
2025-01-28 18:49:31,348.48,42,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",5,128,False,True,2025-01-28 18:49:36,0.94,DEV-769,cash,2025-01-28 18:49:44,unsure,Require section option pattern.,True
